N,M,alpha_ratio,sigma,eta,rho_c_empirical,rho_c_theory,ratio
30,30,1.0,0.001,1e-05,9.999999999956655e-06,0.006324555320336759,0.0015811388300773362
30,30,1.0,0.001,0.0001,2.022471232444344e-05,0.02,0.001011235616222172
30,30,1.0,0.001,0.001,0.00033838551534282367,0.06324555320336758,0.0053503447784658785
30,30,1.0,0.01,1e-05,3.13183100524229e-05,0.006324555320336759,0.004951859611650186
30,30,1.0,0.01,0.0001,4.730669420901564e-05,0.02,0.002365334710450782
30,30,1.0,0.01,0.001,0.00010461834443855291,0.06324555320336758,0.0016541612673091834
30,30,1.0,0.1,1e-05,nan,0.006324555320336759,nan
30,30,1.0,0.1,0.0001,nan,0.02,nan
30,30,1.0,0.1,0.001,nan,0.06324555320336758,nan
30,60,2.0,0.001,1e-05,2.0381854524065888e-05,0.006324555320336759,0.0032226541617127683
30,60,2.0,0.001,0.0001,1.5013107289068156e-05,0.02,0.0007506553644534078
30,60,2.0,0.001,0.001,2.239090957193149e-05,0.06324555320336758,0.00035403136565084645
30,60,2.0,0.01,1e-05,2.152063557158137e-05,0.006324555320336759,0.0034027112550318365
30,60,2.0,0.01,0.0001,2.093416365428904e-05,0.02,0.001046708182714452
30,60,2.0,0.01,0.001,2.355553775256881e-05,0.06324555320336758,0.0003724457540410061
30,60,2.0,0.1,1e-05,0.0006890254987223734,0.006324555320336759,0.10894449709480689
30,60,2.0,0.1,0.0001,0.0003178794430564172,0.02,0.01589397215282086
30,60,2.0,0.1,0.001,nan,0.06324555320336758,nan
30,120,4.0,0.001,1e-05,1.8873918221322514e-05,0.006324555320336759,0.002984228497556655
30,120,4.0,0.001,0.0001,1.8257357032076e-05,0.02,0.0009128678516038
30,120,4.0,0.001,0.001,2.0988501086793064e-05,0.06324555320336758,0.00033185734053592733
30,120,4.0,0.01,1e-05,2.9552092352028878e-05,0.006324555320336759,0.004672596072802687
30,120,4.0,0.01,0.0001,1.5771062853545135e-05,0.02,0.0007885531426772567
30,120,4.0,0.01,0.001,1.857409074635799e-05,0.06324555320336758,0.0002936821611257405
30,120,4.0,0.1,1e-05,9.999999999959366e-05,0.006324555320336759,0.01581138830077765
30,120,4.0,0.1,0.0001,9.999999999959384e-05,0.02,0.004999999999979692
30,120,4.0,0.1,0.001,0.0001052104367688881,0.06324555320336758,0.0016635230690540636
30,240,8.0,0.001,1e-05,1.8257357032076e-05,0.006324555320336759,0.0028867416138126
30,240,8.0,0.001,0.0001,2.9552092352028878e-05,0.02,0.001477604617601444
30,240,8.0,0.001,0.001,1.3753343960579474e-05,0.06324555320336758,0.00021745946179576087
30,240,8.0,0.01,1e-05,1.1500614935683744e-05,0.006324555320336759,0.0018184068844655753
30,240,8.0,0.01,0.0001,1.857409074635799e-05,0.02,0.0009287045373178995
30,240,8.0,0.01,0.001,1.1674193588164874e-05,0.06324555320336758,0.00018458520792167358
30,240,8.0,0.1,1e-05,7.626985859013119e-05,0.006324555320336759,0.01205932349818866
30,240,8.0,0.1,0.0001,7.72147971330817e-05,0.02,0.003860739856654085
30,240,8.0,0.1,0.001,7.83641896620224e-05,0.06324555320336758,0.0012390466316270566
60,60,1.0,0.001,1e-05,1.7816910911538436e-05,0.006324555320336759,0.0028171009674384114
60,60,1.0,0.001,0.0001,2.277092579954221e-05,0.02,0.0011385462899771105
60,60,1.0,0.001,0.001,nan,0.06324555320336758,nan
60,60,1.0,0.01,1e-05,2.1063445423174657e-05,0.006324555320336759,0.0033304231453940556
60,60,1.0,0.01,0.0001,2.8985772146379283e-05,0.02,0.0014492886073189642
60,60,1.0,0.01,0.001,nan,0.06324555320336758,nan
60,60,1.0,0.1,1e-05,nan,0.006324555320336759,nan
60,60,1.0,0.1,0.0001,nan,0.02,nan
60,60,1.0,0.1,0.001,nan,0.06324555320336758,nan
60,120,2.0,0.001,1e-05,1.6702384341525084e-05,0.006324555320336759,0.002640878843737546
60,120,2.0,0.001,0.0001,1.5605486450055205e-05,0.02,0.0007802743225027602
60,120,2.0,0.001,0.001,3.670336497774441e-05,0.06324555320336758,0.0005803311556106382
60,120,2.0,0.01,1e-05,1.5910384392703918e-05,0.006324555320336759,0.002515652656486962
60,120,2.0,0.01,0.0001,1.5170345614880021e-05,0.02,0.0007585172807440011
60,120,2.0,0.01,0.001,3.476774074758999e-05,0.06324555320336758,0.0005497262493031485
60,120,2.0,0.1,1e-05,0.00012760930781071278,0.006324555320336759,0.020176803165968364
60,120,2.0,0.1,0.0001,0.00012252798573764647,0.02,0.006126399286882324
60,120,2.0,0.1,0.001,0.00013205140733511467,0.06324555320336758,0.00208791607704814
60,240,4.0,0.001,1e-05,1.6993696584039455e-05,0.006324555320336759,0.002686939353569383
60,240,4.0,0.001,0.0001,1.6580890190800482e-05,0.02,0.000829044509540024
60,240,4.0,0.001,0.001,1.828235280689259e-05,0.06324555320336758,0.0002890693792827655
60,240,4.0,0.01,1e-05,1.1764899870069272e-05,0.006324555320336759,0.0018601940016618964
60,240,4.0,0.01,0.0001,2.9552092352028878e-05,0.02,0.001477604617601444
60,240,4.0,0.01,0.001,1.7869024337326667e-05,0.06324555320336758,0.000282534082354666
60,240,4.0,0.1,1e-05,4.275786805580752e-05,0.006324555320336759,0.006760612547465365
60,240,4.0,0.1,0.0001,4.342810686405611e-05,0.02,0.0021714053432028055
60,240,4.0,0.1,0.001,5.080218046888555e-05,0.06324555320336758,0.0008032530019229957
60,480,8.0,0.001,1e-05,1.93069772886596e-06,0.006324555320336759,0.0003052701148265326
60,480,8.0,0.001,0.0001,3.938166899994106e-06,0.02,0.0001969083449997053
60,480,8.0,0.001,0.001,6.923666402658046e-06,0.06324555320336758,0.00010947277795791953
60,480,8.0,0.01,1e-05,4.847013057416353e-06,0.006324555320336759,0.0007663800555006083
60,480,8.0,0.01,0.0001,2.067797573642358e-06,0.02,0.00010338987868211789
60,480,8.0,0.01,0.001,1.311133937421563e-05,0.06324555320336758,0.00020730847798984073
60,480,8.0,0.1,1e-05,6.660846290809168e-05,0.006324555320336759,0.010531722711620622
60,480,8.0,0.1,0.0001,3.365571516692261e-05,0.02,0.0016827857583461307
60,480,8.0,0.1,0.001,3.79477054003697e-05,0.06324555320336758,0.0006000059052112004
120,120,1.0,0.001,1e-05,2.5560128050469285e-05,0.006324555320336759,0.004041411096252109
120,120,1.0,0.001,0.0001,2.0343518730871776e-05,0.02,0.0010171759365435887
120,120,1.0,0.001,0.001,nan,0.06324555320336758,nan
120,120,1.0,0.01,1e-05,nan,0.006324555320336759,nan
120,120,1.0,0.01,0.0001,2.4774600455429095e-05,0.02,0.0012387300227714548
120,120,1.0,0.01,0.001,nan,0.06324555320336758,nan
120,120,1.0,0.1,1e-05,nan,0.006324555320336759,nan
120,120,1.0,0.1,0.0001,nan,0.02,nan
120,120,1.0,0.1,0.001,nan,0.06324555320336758,nan
120,240,2.0,0.001,1e-05,8.882381285101998e-06,0.006324555320336759,0.0014044277953487872
120,240,2.0,0.001,0.0001,1.0198966134771587e-05,0.02,0.0005099483067385794
120,240,2.0,0.001,0.001,5.3148400145532506e-05,0.06324555320336758,0.0008403499922695365
120,240,2.0,0.01,1e-05,8.05160299875378e-06,0.006324555320336759,0.0012730702145751904
120,240,2.0,0.01,0.0001,8.888922195700051e-06,0.02,0.0004444461097850026
120,240,2.0,0.01,0.001,5.110223534178125e-05,0.06324555320336758,0.0008079972860299095
120,240,2.0,0.1,1e-05,4.793715645531715e-05,0.006324555320336759,0.007579529947532292
120,240,2.0,0.1,0.0001,5.1175489233779204e-05,0.02,0.0025587744616889603
120,240,2.0,0.1,0.001,0.00012122475952298684,0.06324555320336758,0.0019167317444941266
120,480,4.0,0.001,1e-05,2.0249258790923967e-06,0.006324555320336759,0.00032016889354753513
120,480,4.0,0.001,0.0001,2.0878201975375098e-06,0.02,0.00010439100987687549
120,480,4.0,0.001,0.001,1.700545417119092e-05,0.06324555320336758,0.0002688798391328712
120,480,4.0,0.01,1e-05,2.496657357064923e-06,0.006324555320336759,0.0003947561892670717
120,480,4.0,0.01,0.0001,2.199105118083212e-06,0.02,0.0001099552559041606
120,480,4.0,0.01,0.001,1.6501980554995568e-05,0.06324555320336758,0.0002609192222879774
120,480,4.0,0.1,1e-05,3.298245578184663e-05,0.006324555320336759,0.005214984154821249
120,480,4.0,0.1,0.0001,2.7727235710492924e-05,0.02,0.0013863617855246462
120,480,4.0,0.1,0.001,4.2509203942247465e-05,0.06324555320336758,0.0006721295298905538
120,960,8.0,0.001,1e-05,1.0756579915330083e-06,0.006324555320336759,0.000170076461830321
120,960,8.0,0.001,0.0001,1.4542188097869003e-06,0.02,7.271094048934501e-05
120,960,8.0,0.001,0.001,7.278953843956136e-06,0.06324555320336758,0.00011509036565069622
120,960,8.0,0.01,1e-05,1.9205360334539735e-06,0.006324555320336759,0.0003036634097069946
120,960,8.0,0.01,0.0001,1.8022455152408738e-06,0.02,9.011227576204369e-05
120,960,8.0,0.01,0.001,8.733261623783609e-06,0.06324555320336758,0.00013808499066648368
120,960,8.0,0.1,1e-05,1.555788168371864e-05,0.006324555320336759,0.0024599170843983133
120,960,8.0,0.1,0.0001,1.6489009572629298e-05,0.02,0.0008244504786314649
120,960,8.0,0.1,0.001,2.1276975199036213e-05,0.06324555320336758,0.0003364185167393444
240,240,1.0,0.001,1e-05,nan,0.006324555320336759,nan
240,240,1.0,0.001,0.0001,2.6814542477150204e-05,0.02,0.00134072712385751
240,240,1.0,0.001,0.001,nan,0.06324555320336758,nan
240,240,1.0,0.01,1e-05,nan,0.006324555320336759,nan
240,240,1.0,0.01,0.0001,2.6342680911607046e-05,0.02,0.0013171340455803522
240,240,1.0,0.01,0.001,nan,0.06324555320336758,nan
240,240,1.0,0.1,1e-05,nan,0.006324555320336759,nan
240,240,1.0,0.1,0.0001,nan,0.02,nan
240,240,1.0,0.1,0.001,nan,0.06324555320336758,nan
240,480,2.0,0.001,1e-05,1.9091274170667414e-06,0.006324555320336759,0.0003018595490702558
240,480,2.0,0.001,0.0001,5.923099382027281e-06,0.02,0.00029615496910136407
240,480,2.0,0.001,0.001,9.378561332749373e-05,0.06324555320336758,0.0014828807493536163
240,480,2.0,0.01,1e-05,3.046446231451779e-06,0.006324555320336759,0.0004816854430312054
240,480,2.0,0.01,0.0001,1.3462472236294825e-05,0.02,0.0006731236118147412
240,480,2.0,0.01,0.001,0.00011069236004951205,0.06324555320336758,0.001750199886679434
240,480,2.0,0.1,1e-05,2.346931634936144e-05,0.006324555320336759,0.003710824739550509
240,480,2.0,0.1,0.0001,2.541694444416434e-05,0.02,0.001270847222208217
240,480,2.0,0.1,0.001,nan,0.06324555320336758,nan
240,960,4.0,0.001,1e-05,1.7552698431915943e-06,0.006324555320336759,0.0002775325306346016
240,960,4.0,0.001,0.0001,2.8985772146395313e-06,0.02,0.00014492886073197656
240,960,4.0,0.001,0.001,3.905669603162147e-05,0.06324555320336758,0.000617540586703918
240,960,4.0,0.01,1e-05,1.9006087903866671e-06,0.006324555320336759,0.0003005126359279702
240,960,4.0,0.01,0.0001,3.227182526591239e-06,0.02,0.00016135912632956194
240,960,4.0,0.01,0.001,3.419295632789216e-05,0.06324555320336758,0.000540638109654032
240,960,4.0,0.1,1e-05,1.6231882614774887e-05,0.006324555320336759,0.002566485988758906
240,960,4.0,0.1,0.0001,1.565497600944459e-05,0.02,0.0007827488004722295
240,960,4.0,0.1,0.001,4.45698978910801e-05,0.06324555320336758,0.0007047119620847419
240,1920,8.0,0.001,1e-05,9.692266328331268e-07,0.006324555320336759,0.00015324818643242086
240,1920,8.0,0.001,0.0001,1.1240927299579351e-06,0.02,5.620463649789675e-05
240,1920,8.0,0.001,0.001,1.9598377280905706e-05,0.06324555320336758,0.0003098775532547981
240,1920,8.0,0.01,1e-05,1.0088339980835815e-06,0.006324555320336759,0.00015951066074790295
240,1920,8.0,0.01,0.0001,1.3902982927585743e-06,0.02,6.951491463792872e-05
240,1920,8.0,0.01,0.001,1.6956542570270594e-05,0.06324555320336758,0.00026810647881830407
240,1920,8.0,0.1,1e-05,9.609459526400093e-06,0.006324555320336759,0.0015193889593313615
240,1920,8.0,0.1,0.0001,1.076677311753498e-05,0.02,0.000538338655876749
240,1920,8.0,0.1,0.001,1.7964360624791242e-05,0.06324555320336758,0.0002840414814149291
